음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
백김치,50.0,19.803500000000003,4.3755,0.0,0.2645,0.798,22.878,18.188499999999998,211.718,153.41549999999998,-,0.43200000000000005,0.24400000000000002,0.0415,0
부추김치,50.0,32.9105,6.2875,3.486,0.5694999999999999,1.875,13.927500000000002,15.225000000000001,399.378,228.6625,-,1.2785,0.189,0.0,0
열무김치,50.0,16.285000000000004,3.1555,1.195,0.34850000000000003,1.3430000000000002,64.553,28.5715,308.349,411.84499999999997,-,1.3914999999999997,0.131,0.0,0
열무얼갈이김치,50.0,16.57,3.0254999999999996,0.0,0.40349999999999997,1.2690000000000001,47.906000000000006,33.169999999999995,344.2010000000001,176.996,-,0.8399999999999999,0.20500000000000004,4.198,0
오이소박이,50.0,16.6675,2.9565,1.195,0.532,0.9424999999999998,22.3365,39.574,276.19350000000003,184.8785,-,0.5355,0.1935,1.452,0
총각김치,50.0,17.564500000000002,3.436000000000001,0.0,0.369,1.03,50.192000000000014,25.629999999999995,347.17049999999995,168.107,-,0.8809999999999999,0.192,4.433999999999999,0
파김치,50.0,28.005000000000003,5.4719999999999995,0.996,0.702,1.5545,46.634,20.359,395.8649999999999,179.119,-,0.8200000000000002,0.337,4.69,0
간장게장,250.0,292.7025,13.884999999999998,0.17024999999999998,2.0875,32.665,267.1175,458.4275,3075.5325,1137.6924999999997,-,7.550000000000001,8.41,223.125,0
마늘쫑장아찌,50.0,28.2695,6.1875,2.3475,0.13,1.045,8.390500000000001,23.65,778.6005,105.688,-,0.33,0.34099999999999997,0.0,0
고추장아찌,30.0,22.356,4.1814,2.997,0.0882,0.8034000000000001,4.752,16.661999999999995,787.299,83.334,-,0.21840000000000004,0.14370000000000002,0.0,0
깻잎장아찌,30.0,33.6351,7.872299999999999,2.7816899999999998,0.3575999999999999,2.1138,84.1689,40.456500000000005,568.7526000000001,220.78740000000002,-,1.0065,0.4329,0.6269999999999999,0
마늘장아찌,30.0,16.0554,3.0663,0.29969999999999997,0.020399999999999998,0.7872,1.7420999999999998,14.796899999999999,481.749,64.2693,-,0.1221,0.1293,0.0,0
무장아찌,30.0,27.337200000000003,5.31465,3.2967000000000004,0.26070000000000004,0.5669400000000001,15.62154,15.057900000000002,933.28224,106.01844000000001,-,0.32076000000000005,0.15213000000000002,0.0,0
양념게장,200.0,275.55400000000003,46.330000000000005,26.520000000000003,2.0580000000000003,20.41,165.87199999999999,283.47,1747.8440000000003,792.52,-,5.252,5.227999999999999,134.4,0
